id,name,artist,cover_url,album_url,buy_url
27,"The Ultimate Collection",NULL,https://fastly-s3.allmusic.com/release/mr0000763412/front/220/DDUkCFmMK8IEB952kp-KlgSijaXJlYnq0St31qpAJWo=.jpg,NULL,https://www.allmusic.com/album/the-ultimate-collection-mw0000033621
28,"Basher: The Best of Nick Lowe",NULL,https://fastly-s3.allmusic.com/release/mr0001416304/front/220/L9DUBAOONnoxoavYsFoUIRyhM-OFI8zG4l-qVpXXB1I=.jpg,NULL,https://www.allmusic.com/album/basher-the-best-of-nick-lowe-mw0000202323
29,"The Intimate Ellington",NULL,https://fastly-s3.allmusic.com/release/mr0000107496/front/220/wZ3KHuW0cHQXBTR68U0s7z6KsMttLlyBmmVTZ6_CLs0=.jpg,NULL,https://www.allmusic.com/album/the-intimate-ellington-mw0000674680
30,"Stand by Your Man",NULL,https://fastly-s3.allmusic.com/release/mr0001238903/front/220/_iruikGtzff6vNdTELZyx4Af7E_1E-2MlBBPmPAXRBU=.jpg,NULL,https://www.allmusic.com/album/stand-by-your-man-mw0000232920
31,1984,NULL,https://fastly-s3.allmusic.com/release/mr0001294652/front/220/59QlNYjs3zBF77TonHFrEh_TZlp6n_cq-Emr2zx15tU=.jpg,NULL,https://www.allmusic.com/album/1984-mw0000196168
32,Greatest,NULL,https://fastly-s3.allmusic.com/release/mr0004880354/front/220/1ziyK_XGyvxjZjm0pMsYzd_M69_UI9rrJSVvWL2-yAg=.jpg,NULL,https://www.allmusic.com/album/greatest-mw0000190866
33,"The Way Home",NULL,https://fastly-s3.allmusic.com/release/mr0001432883/front/220/CbMoLoziUlWJlKT_2k6EaASijaXJlYnq0St31qpAJWo=.jpg,NULL,https://www.allmusic.com/album/the-way-home-mw0000654139
34,"Neujahrskonzert 2025 New Year's Concert",NULL,https://fastly-s3.allmusic.com/release/mr0006601146/front/220/Au7e9_3ehekttT9HpSQxSxyhM-OFI8zG4l-qVpXXB1I=.jpg,NULL,https://www.allmusic.com/album/neujahrskonzert-2025-new-years-concert-mw0004432214
35,"Nation Shall Speak Unto Nation",NULL,https://fastly-s3.allmusic.com/release/mr0006603322/front/220/Z9UtGZMHeuuLcCttuARIjd_M69_UI9rrJSVvWL2-yAg=.jpg,NULL,https://www.allmusic.com/album/nation-shall-speak-unto-nation-mw0004457525
36,Seelentrost,NULL,https://fastly-s3.allmusic.com/release/mr0006551986/front/220/2qlkXlg5pG90nKfYlq6rUCpQg_7iAU1wjqLgK_xGXts=.jpg,NULL,https://www.allmusic.com/album/seelentrost-mw0004414924
37,Lieder,NULL,https://fastly-s3.allmusic.com/release/mr0006568715/front/220/mJdqHGv3ndgttHpneC6F6VWnbEN5fCjifro6xhIBuB4=.jpg,NULL,https://www.allmusic.com/album/lieder-mw0004428122
38,"A Rainbow in Curved Air",NULL,https://fastly-s3.allmusic.com/release/mr0001412011/front/220/aYVDzbTKGyKVtHBMkqHgxB_TZlp6n_cq-Emr2zx15tU=.jpg,NULL,https://www.allmusic.com/album/a-rainbow-in-curved-air-mw0000161608
40,"Ambient: Aqua/Timewind/Blackouts",NULL,https://fastly-s3.allmusic.com/release/mr0000155988/front/220/PeXbHLiU7qYlWSWEaZCJuoAf7E_1E-2MlBBPmPAXRBU=.jpg,NULL,https://www.allmusic.com/album/ambient-aqua-timewind-blackouts-mw0000120084
41,"Toumani & Sidiki",NULL,https://fastly-s3.allmusic.com/release/mr0004145837/front/220/co8knGf8FTDyLGIG51PVpSpQg_7iAU1wjqLgK_xGXts=.jpg,NULL,https://www.allmusic.com/album/toumani-sidiki-mw0002657966
42,"Philip Glass: Songs from Liquid Days",NULL,https://fastly-s3.allmusic.com/release/mr0001432928/front/220/y0RK5fDPtn_yYGkEgB5YCQ4Q1ghY8VaPylnm7PwcKNY=.jpg,NULL,https://www.allmusic.com/album/philip-glass-songs-from-liquid-days-mw0000269337
43,"Next Tango",NULL,https://fastly-s3.allmusic.com/release/mr0002542854/front/220/UJ6ZrF4_U76JMmOjeMRKlphUoDg0hsvx4F4sL4oO-nA=.jpg,NULL,https://www.allmusic.com/album/next-tango-mw0001525073
44,Rounds,NULL,https://fastly-s3.allmusic.com/release/mr0000403021/front/220/-5X1AeBzMHiQYY0XFEmPKlWnbEN5fCjifro6xhIBuB4=.jpg,NULL,https://www.allmusic.com/album/rounds-mw0000028336
45,"Philip Glass: Glassworks",NULL,https://fastly-s3.allmusic.com/release/mr0002147045/front/220/LsGMXMFGgePx8hzycRSjdB_TZlp6n_cq-Emr2zx15tU=.jpg,NULL,https://www.allmusic.com/album/philip-glass-glassworks-mw0000157237
46,Gut,NULL,https://fastly-s3.allmusic.com/release/mr0006623363/front/220/Nze7l-tfsYvqFnbnW_8oPg4Q1ghY8VaPylnm7PwcKNY=.jpg,NULL,https://www.allmusic.com/album/gut-mw0004473235
47,"Consentrik Quartet",NULL,https://fastly-s3.allmusic.com/release/mr0006599587/front/220/oVKe-Z2mghdrSLwke1bt7ASijaXJlYnq0St31qpAJWo=.jpg,NULL,https://www.allmusic.com/album/consentrik-quartet-mw0004454493
48,Just,NULL,https://fastly-s3.allmusic.com/release/mr0006565992/front/220/SLNLH7A_5eqf8qlOUUfJwoAf7E_1E-2MlBBPmPAXRBU=.jpg,NULL,https://www.allmusic.com/album/just-mw0004426592
49,"Lay Low",NULL,https://fastly-s3.allmusic.com/release/mr0006543923/front/220/5K-mc8qxbOp41uCEwf8QiR_TZlp6n_cq-Emr2zx15tU=.jpg,NULL,https://www.allmusic.com/album/lay-low-mw0004394877
50,"Kid A",NULL,https://fastly-s3.allmusic.com/release/mr0001436301/front/220/k0Hidl1HJaW7iMa_zQRnHd_M69_UI9rrJSVvWL2-yAg=.jpg,NULL,https://www.allmusic.com/album/kid-a-mw0000620999
51,"Adam's Apple",NULL,https://fastly-s3.allmusic.com/release/mr0001715662/front/220/8t_AjIFZZYOo3RK_bABZYgSijaXJlYnq0St31qpAJWo=.jpg,NULL,https://www.allmusic.com/album/adams-apple-mw0000192508
52,"Mingus Ah Um",NULL,https://fastly-s3.allmusic.com/release/mr0000007485/front/220/fTBV434r_5lX2QNsDzwr3R_TZlp6n_cq-Emr2zx15tU=.jpg,NULL,https://www.allmusic.com/album/mingus-ah-um-mw0000188531
53,"Brilliant Corners",NULL,https://fastly-s3.allmusic.com/release/mr0001072528/front/220/T4BUo5iyuEzir8Is69jsMN_M69_UI9rrJSVvWL2-yAg=.jpg,NULL,https://www.allmusic.com/album/brilliant-corners-mw0000188572
54,"Saxophone Colossus",NULL,https://fastly-s3.allmusic.com/release/mr0003350677/front/220/TdqVapR5lPyo4j0W18l_2B_TZlp6n_cq-Emr2zx15tU=.jpg,NULL,https://www.allmusic.com/album/saxophone-colossus-mw0000188597
55,"The Essential Waylon Jennings [RCA Nashville/Legacy]",NULL,https://fastly-s3.allmusic.com/release/mr0000585622/front/220/-xs6L0FhQm11xdCxFYi74A4Q1ghY8VaPylnm7PwcKNY=.jpg,NULL,https://www.allmusic.com/album/the-essential-waylon-jennings-rca-nashville-legacy--mw0000481565
56,"The Essential Bruce Springsteen",NULL,https://fastly-s3.allmusic.com/release/mr0000322391/front/220/aht2cb033T7rEh17OlpypoAf7E_1E-2MlBBPmPAXRBU=.jpg,NULL,https://www.allmusic.com/album/the-essential-bruce-springsteen-mw0000322463
